;32;64;128;256;512;1024
32;2048;0.00672
32;4096;0.006752
32;8192;0.006848
32;16384;0.007584
32;32768;0.008384
32;65536;0.010176
32;131072;0.014464
32;262144;0.022336
32;524288;0.043264
32;1048576;0.077504
32;2097152;0.148672
32;4194304;0.300928
32;8388608;0.577536
64;1024;0.007168
64;2048;0.00752
64;4096;0.007328
64;8192;0.007008
64;16384;0.007712
64;32768;0.008096
64;65536;0.008768
64;131072;0.01472
64;262144;0.02208
64;524288;0.039232
64;1048576;0.076736
64;2097152;0.14832
64;4194304;0.303776
64;8388608;0.602784
128;1024;0.00768
128;2048;0.007456
128;4096;0.00736
128;8192;0.007648
128;16384;0.007392
128;32768;0.008192
128;65536;0.008992
128;131072;0.01504
128;262144;0.024096
128;524288;0.038944
128;1048576;0.075264
128;2097152;0.18224
128;4194304;0.300672
128;8388608;0.606304
256;1024;0.007456
256;2048;0.007104
256;4096;0.007424
256;8192;0.007488
256;16384;0.007328
256;32768;0.00784
256;65536;0.008672
256;131072;0.01456
256;262144;0.021888
256;524288;0.038912
256;1048576;0.090944
256;2097152;0.146144
256;4194304;0.656672
256;8388608;0.590336
512;1024;0.007424
512;2048;0.007392
512;4096;0.007392
512;8192;0.007552
512;16384;0.00768
512;32768;0.007552
512;65536;0.009504
512;131072;0.011776
512;262144;0.021376
512;524288;0.039168
512;1048576;0.075328
512;2097152;0.148544
512;4194304;0.308576
512;8388608;0.599008
1024;1024;0.007296
1024;2048;0.008
1024;4096;0.007776
1024;8192;0.007488
1024;16384;0.00752
1024;32768;0.008352
1024;65536;0.009216
1024;131072;0.01152
1024;262144;0.023552
1024;524288;0.04208
1024;1048576;0.077344
1024;2097152;0.15216
1024;4194304;0.292832
1024;8388608;0.600864
ThreadsPerBlock;Block;Timer
2;1024;0.00816
2;2048;0.008864
2;4096;0.01104
2;8192;0.01488
2;16384;0.022688
2;32768;0.038496
2;65536;0.068896
2;131072;0.130336
2;262144;0.252864
2;524288;0.496608
2;1048576;0.986624
2;2097152;1.9657
2;4194304;3.84534
2;8388608;7.68861
4;1024;0.007936
4;2048;0.008224
4;4096;0.008992
4;8192;0.010816
4;16384;0.01472
4;32768;0.022368
4;65536;0.037728
4;131072;0.068224
4;262144;0.128768
4;524288;0.249888
4;1048576;0.492704
4;2097152;1.20112
4;4194304;1.94931
4;8388608;3.89158
8;1024;0.007552
