MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsErr(write);RelErr(write);ReadTime;AverageReadTime;ReadBandWidth;AbsErr(read);RelErr(read)
HDD;4194304;byte;4194304;1;chrono;5822539;5.93776e+06;0.706378;181142;3.05068;1676216;1.7196e+06;2.43911;9959.1;0.579151;
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsErr(write);RelErr(write);ReadTime;AverageReadTime;ReadBandWidth;AbsErr(read);RelErr(read)
HDD;4194304;byte;4194304;1;chrono;5885528;5.78914e+06;0.724513;217753;3.7614;1788195;1.8422e+06;2.27679;113201;6.14488;
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsErr(write);RelErr(write);ReadTime;AverageReadTime;ReadBandWidth;AbsErr(read);RelErr(read)
HDD;4194304;byte;4194304;1;chrono;6275897;5.96531e+06;0.703116;272609;4.5699;1634605;1.70484e+06;2.46024;42642.2;2.50125;
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsErr(write);RelErr(write);ReadTime;AverageReadTime;ReadBandWidth;AbsErr(read);RelErr(read)
HDD;4194304;byte;4194304;1;chrono;5763577;6.10368e+06;0.687176;150589;2.46718;1670802;1.73062e+06;2.42359;343224;19.8324;
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsErr(write);RelErr(write);ReadTime;AverageReadTime;ReadBandWidth;AbsErr(read);RelErr(read)
HDD;4194304;byte;4194304;1;chrono;5985541;6.73199e+06;0.623041;556314;8.26374;1711698;1.72074e+06;2.4375;79752.7;4.6348;
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsErr(write);RelErr(write);ReadTime;AverageReadTime;ReadBandWidth;AbsErr(read);RelErr(read)
HDD;4194304;byte;4194304;1;chrono;5813790;6.06317e+06;0.691768;296374;4.88811;1676411;1.71927e+06;2.43959;20858.5;1.21322;
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsErr(write);RelErr(write);ReadTime;AverageReadTime;ReadBandWidth;AbsErr(read);RelErr(read)
RAM;41943040;byte;4194304;1;chrono;66993;54045.9;776.063;12527.9;23.1802;66993;54045.9;776.063;12527.9;23.1802;
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsErr(write);RelErr(write);ReadTime;AverageReadTime;ReadBandWidth;AbsErr(read);RelErr(read)
RAM;41943040;byte;4194304;1;chrono;88097;66701.5;628.817;13716.5;20.564;88097;66701.5;628.817;13716.5;20.564;
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsErr(write);RelErr(write);ReadTime;AverageReadTime;ReadBandWidth;AbsErr(read);RelErr(read)
RAM;40960;byte;40960;1;chrono;7126;7126;5.74797;0;0;7126;7126;5.74797;0;0;
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsErr(write);RelErr(write);ReadTime;AverageReadTime;ReadBandWidth;AbsErr(read);RelErr(read)
RAM;40960;byte;40960;1;chrono;4119;4119;9.94416;0;0;4119;4119;9.94416;0;0;
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsErr(write);RelErr(write);ReadTime;AverageReadTime;ReadBandWidth;AbsErr(read);RelErr(read)
RAM;41943040;byte;4194304;1;chrono;77930;77930;538.214;0;0;77930;77930;538.214;0;0;
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsErr(write);RelErr(write);ReadTime;AverageReadTime;ReadBandWidth;AbsErr(read);RelErr(read)
HDD;41943040;byte;4194304;1;chrono;143967240;1.43967e+08;0.291337;0;0;31804228;3.18042e+07;1.31879;0;0;
